timestamp,cpu_load,events_per_sec,avg_latency,score
2026-04-26 22:43:17,60%,967.20,1.03,939.03
2026-04-26 22:43:17,70%,931.47,1.07,870.53
2026-04-26 22:43:17,80%,889.97,1.12,794.62
2026-04-26 22:43:17,90%,857.04,1.16,738.83
2026-04-26 23:14:55,30%,1009.60,0.99,1019.80
2026-04-26 23:14:55,40%,977.97,1.02,958.79
2026-04-26 23:14:55,50%,902.64,1.11,813.19
2026-04-26 23:14:55,60%,925.52,1.08,856.96
2026-04-26 23:14:55,70%,972.50,1.03,944.17
2026-04-26 23:14:55,80%,850.76,1.17,727.15
2026-04-26 23:14:55,90%,846.11,1.18,717.04
2026-04-26 23:46:34,30%,1005.38,0.99,1015.54
2026-04-26 23:46:34,40%,1001.72,1.00,1001.72
2026-04-26 23:46:34,50%,916.79,1.09,841.09
2026-04-26 23:46:34,60%,898.31,1.11,809.29
2026-04-26 23:46:34,70%,942.06,1.06,888.74
2026-04-26 23:46:34,80%,914.56,1.09,839.05
2026-04-26 23:46:34,90%,883.20,1.13,781.59
2026-04-27 00:18:12,30%,993.07,1.01,983.24
2026-04-27 00:18:12,40%,954.87,1.05,909.40
2026-04-27 00:18:12,50%,1029.22,0.97,1061.05
2026-04-27 00:18:12,60%,964.42,1.04,927.33
2026-04-27 00:18:12,70%,917.76,1.09,841.98
2026-04-27 00:18:12,80%,848.99,1.18,719.48
2026-04-27 00:18:12,90%,818.47,1.22,670.88
2026-04-27 00:49:50,30%,989.37,1.01,979.57
2026-04-27 00:49:50,40%,960.51,1.04,923.57
2026-04-27 00:49:50,50%,937.75,1.07,876.40
2026-04-27 00:49:50,60%,901.72,1.11,812.36
2026-04-27 00:49:50,70%,918.45,1.09,842.61
2026-04-27 00:49:50,80%,912.98,1.09,837.60
2026-04-27 00:49:50,90%,899.29,1.11,810.17
2026-04-27 01:21:28,30%,1017.15,0.98,1037.91
2026-04-27 01:21:28,40%,955.32,1.05,909.83
2026-04-27 01:21:28,50%,997.89,1.00,997.89
2026-04-27 01:21:28,60%,951.20,1.05,905.90
2026-04-27 01:21:28,70%,941.21,1.06,887.93
2026-04-27 01:21:28,80%,858.24,1.16,739.86
2026-04-27 01:21:28,90%,893.20,1.12,797.50
2026-04-27 01:53:07,30%,988.96,1.01,979.17
2026-04-27 01:53:07,40%,976.08,1.02,956.94
2026-04-27 01:53:07,50%,982.81,1.02,963.54
2026-04-27 01:53:07,60%,948.75,1.05,903.57
2026-04-27 01:53:07,70%,919.76,1.09,843.82
2026-04-27 01:53:07,80%,855.07,1.17,730.83
2026-04-27 01:53:07,90%,876.03,1.14,768.45
2026-04-27 02:24:45,30%,1048.15,0.95,1103.32
2026-04-27 02:24:45,40%,957.20,1.04,920.38
2026-04-27 02:24:45,50%,1003.69,1.00,1003.69
2026-04-27 02:24:45,60%,933.71,1.07,872.63
2026-04-27 02:24:45,70%,953.08,1.05,907.70
2026-04-27 02:24:45,80%,873.61,1.14,766.32
2026-04-27 02:24:45,90%,849.47,1.18,719.89
2026-04-27 02:56:23,30%,1004.68,0.99,1014.83
2026-04-27 02:56:23,40%,1020.97,0.98,1041.81
2026-04-27 02:56:23,50%,879.35,1.14,771.36
2026-04-27 02:56:23,60%,960.80,1.04,923.85
2026-04-27 02:56:23,70%,936.89,1.07,875.60
2026-04-27 02:56:23,80%,915.42,1.09,839.83
2026-04-27 02:56:23,90%,921.78,1.08,853.50
2026-04-27 03:28:02,30%,1003.63,1.00,1003.63
2026-04-27 03:28:02,40%,986.23,1.01,976.47
2026-04-27 03:28:02,50%,979.72,1.02,960.51
2026-04-27 03:28:02,60%,871.33,1.15,757.68
2026-04-27 03:28:02,70%,960.35,1.04,923.41
2026-04-27 03:28:02,80%,936.44,1.07,875.18
2026-04-27 03:28:02,90%,844.50,1.18,715.68
2026-04-27 03:59:40,30%,1032.54,0.97,1064.47
2026-04-27 03:59:40,40%,1033.04,0.97,1064.99
2026-04-27 03:59:40,50%,958.75,1.04,921.88
2026-04-27 03:59:40,60%,897.92,1.11,808.94
2026-04-27 03:59:40,70%,943.99,1.06,890.56
2026-04-27 03:59:40,80%,857.23,1.17,732.68
2026-04-27 03:59:40,90%,842.00,1.19,707.56
2026-04-27 04:31:18,30%,1042.61,0.96,1086.05
2026-04-27 04:31:18,40%,1022.45,0.98,1043.32
2026-04-27 04:31:18,50%,906.50,1.10,824.09
2026-04-27 04:31:18,60%,844.34,1.18,715.54
2026-04-27 04:31:18,70%,905.34,1.10,823.04
2026-04-27 04:31:18,80%,907.80,1.10,825.27
2026-04-27 04:31:18,90%,832.55,1.20,693.79
2026-04-27 05:02:57,30%,1039.68,0.96,1083.00
2026-04-27 05:02:57,40%,1002.31,1.00,1002.31
2026-04-27 05:02:57,50%,1018.75,0.98,1039.54
2026-04-27 05:02:57,60%,936.39,1.07,875.13
2026-04-27 05:02:57,70%,951.20,1.05,905.90
2026-04-27 05:02:57,80%,870.87,1.15,757.28
2026-04-27 05:02:57,90%,871.60,1.15,757.91
2026-04-27 05:34:35,30%,968.93,1.03,940.71
2026-04-27 05:34:35,40%,1004.27,0.99,1014.41
2026-04-27 05:34:35,50%,912.31,1.09,836.98
2026-04-27 05:34:35,60%,932.58,1.07,871.57
2026-04-27 05:34:35,70%,896.09,1.11,807.29
2026-04-27 05:34:35,80%,886.88,1.13,784.85
2026-04-27 05:34:35,90%,883.66,1.13,782.00
2026-04-27 06:06:13,30%,993.50,1.01,983.66
2026-04-27 06:06:13,40%,946.11,1.06,892.56
2026-04-27 06:06:13,50%,1022.75,0.98,1043.62
2026-04-27 06:06:13,60%,907.75,1.10,825.23
2026-04-27 06:06:13,70%,899.61,1.11,810.46
2026-04-27 06:06:13,80%,864.71,1.16,745.44
2026-04-27 06:06:13,90%,854.20,1.17,730.09
2026-04-27 06:37:52,30%,1021.15,0.98,1041.99
2026-04-27 06:37:52,40%,1033.02,0.97,1064.97
2026-04-27 06:37:52,50%,962.73,1.04,925.70
2026-04-27 06:37:52,60%,927.45,1.08,858.75
2026-04-27 06:37:52,70%,954.76,1.05,909.30
2026-04-27 06:37:52,80%,916.04,1.09,840.40
2026-04-27 06:37:52,90%,852.56,1.17,728.68
2026-04-27 07:09:30,30%,1034.55,0.97,1066.55
2026-04-27 07:09:30,40%,963.06,1.04,926.02
2026-04-27 07:09:30,50%,941.33,1.06,888.05
2026-04-27 07:09:30,60%,967.47,1.03,939.29
2026-04-27 07:09:30,70%,957.69,1.04,920.86
2026-04-27 07:09:30,80%,922.38,1.08,854.06
2026-04-27 07:09:30,90%,817.42,1.22,670.02
